titulo|autores|isbn|calificacion_promedio
My Story as told by Water: Confessions  Druidic Rants  Reflections  Bird-watchings  Fish-stalkings  Visions  Songs and Prayers Refracting Light  from Living Rivers  in the Age of the Industrial Dark|David James Duncan|1578050499|4.08
Pilgrims and Other Stories|Elizabeth Gilbert|0330351745|3.12
The Last American Man|Elizabeth Gilbert|0142002836|3.8
Pilgrims Pa|Elizabeth Gilbert|0395924855|3.12
Stern Men|Elizabeth Gilbert|061812733X|3.39
A Writer's Workbook: Daily Exercises for the Writing Life|Caroline Sharp-Elizabeth Gilbert|031228621X|3.71
Size 14 Is Not Fat Either (Heather Wells  #2)|Meg Cabot|0060525126|3.83
Missing You (1-800-Where-R-You  #5)|Meg Cabot|0060874309|4.17
Queen of Babble (Queen of Babble  #1)|Meg Cabot|0060851988|3.69
Size 12 Is Not Fat (Heather Wells  #1)|Meg Cabot|0060525118|3.74
How to Be Popular|Meg Cabot|0060880120|3.54
Valentine Princess (The Princess Diaries  #4.25)|Meg Cabot|0060847182|3.67
Every Boy's Got One (Boy  #3)|Meg Cabot|0330418882|3.77
Darkest Hour (The Mediator  #4)|Meg Cabot|0060725141|4.17
Haunted (The Mediator  #5)|Meg Cabot|0060751649|4.15
She Went All the Way|Meg Cabot|0060085444|3.69
Are We There Yet?|David Levithan|037582846X|3.5
Boy Meets Boy|David Levithan|0375832998|3.84
This Is Push: New Stories from the Edge|David Levithan-Patricia McCormick-Matthue Roth-Kevin Waltman-Samantha Schutz-Coe Booth-Eddie de Oliveira-Tanuja Desai Hidier-Kevin Brooks-Chris Wooding-Markus Zusak-Brian James-Kristen Kemp-Eireann Corrigan-Christopher Krovatin-Billy Merrell|0439890284|3.62
Naomi and Ely's No Kiss List|Rachel Cohn-David Levithan|0375844406|3.44
The Realm of Possibility|David Levithan|0375836578|3.93
Ten Things I Hate about You|David Levithan|0439087309|4.11
Where We Are  What We See: The Best Young Writers and Artists in America|David Levithan|0439736463|3.73
Aphrodite's Passion (Superhero Central #2)|Julie Kenner|0505524740|3.62
The Manolo Matrix (Codebreaker Trilogy #2)|Julie Kenner|0743496140|3.61
The Cat's Fancy|Julie Kenner|0505523973|3.58
Demons Are Forever (Demon-Hunting Soccer Mom  #3)|Julie Kenner|0425215385|3.89
Aphrodite's Secret (Superhero Central #3)|Julie Kenner|0505525097|3.7
The Good Ghouls' Guide to Getting Even (Beth Frasier #1)|Julie Kenner|0425213919|3.58
Aphrodite's Flame (Superhero Central #4)|Julie Kenner|0505525755|3.67
Carpe Demon (Demon-Hunting Soccer Mom  #1)|Julie Kenner|0515142212|3.63
Perfect Circle|Sean Stewart|1931520119|3.8
The Great Philosophers: An Introduction to Western Philosophy|Bryan Magee|019289322X|4.06
The Story Of Thought|Bryan Magee|0789444550|4.28
The Story of Philosophy: A Concise Introduction to the World's Greatest Thinkers and Their Ideas|Bryan Magee|0751333328|4.13
Feminist Measures: Soundings in Poetry and Theory|Lynn Keller-Lynn Keller|0472064843|4.4
Taxation of Mineral Rents|Ross Garnaut|0198284543|5.0
Dubliners|James Joyce-Margot Norris-Hans Walter Gabler-Walter Hettche|0393978516|3.85
Dubliners: Text  Criticism  and Notes|James Joyce-Robert Scholes-A. Walton Litz|0140247742|3.85
Dubliners|James Joyce-Frank McCourt-Donal Donnelly-Ciaran Hinds-Colm Meaney-Malachy McCourt|0060789565|3.85
CliffsNotes on Joyce's Dubliners (Cliffs Notes)|Adam  Sexton-G. Tubach|0764537156|3.5
The Door to Time (Ulysses Moore  #1)|Pierdomenico Baccalario-Iacopo Bruno-Laura Zuccotti-Leah D. Janeczko-Beth Dunfey|0439774381|3.92
Ulysses S. Grant: The Unlikely Hero|Michael Korda|0060590157|3.88
Ulysses S. Grant|Josiah Bunting-Arthur M. Schlesinger Jr.|0805069496|3.85
Allusions in Ulysses: An Annotated List|Weldon Thornton|0807840890|4.04
Ulysses Found|Ernle Bradford|0750937254|4.04
The Scandal of Ulysses: The Life And Afterlife of a Twentieth Century Masterpiece|Bruce Arnold|190414845X|3.79
Round Ireland with a Fridge|Tony Hawks|0312274920|3.79
Discovery of the Presence of God: Devotional Nonduality|David R. Hawkins|0971500762|4.58
Transcending the Levels of Consciousness: The Stairway to Enlightenment|David R. Hawkins|0971500746|4.53
The Eye of the I: From Which Nothing is Hidden|David R. Hawkins|0964326191|4.38
Letters to J. D. Salinger|Chris Kubica-Chris Kubica|0299178005|3.54
J.D. Salinger's Catcher in the Rye (Modern Critical Interpretations)|Harold Bloom|0791056643|3.58
Tailchaser's Song|Tad Williams|0886779537|3.97
Running with Scissors|Augusten Burroughs|0312425414|3.71
Lord of the Flies|William Golding|0812416112|3.67
Where Is Baby's Mommy? (A Lift-the-Flap Book)|Karen Katz|0689835612|4.15
Counting Christmas|Karen Katz|0689849257|3.56
Running from the Deity (Pip & Flinx #11)|Alan Dean Foster|0345461614|3.8
Lost and Found|Alan Dean Foster|0345461274|3.68
Reunion (Pip & Flinx #8)|Alan Dean Foster|0345418689|3.87
Running from the Deity (Pip & Flinx #11)|Alan Dean Foster|0345461592|3.8
The Dig|Alan Dean Foster|0727852663|3.4
Regarding the Fountain: A Tale  in Letters  of Liars and Leaks|Kate Klise-M. Sarah Klise|0380793474|4.2
Pimsleur German Level 1 CD: [Lessons 1-30]|Pimsleur Language Programs|0743518365|4.21
The Architecture of Happiness|Alain de Botton|0375424431|3.85
The Consolations of Philosophy|Alain de Botton|0679779175|4.0
How Proust Can Change Your Life|Alain de Botton|0679779159|3.76
Kiss & Tell|Alain de Botton|0312155611|3.55
The Consolations of Philosophy|Alain de Botton|0140276610|4.0
Status Anxiety|Alain de Botton|0375725350|3.9
On Love|Alain de Botton|0802142400|3.98
Essays in Love|Alain de Botton|0330334360|3.98
Miracle at St. Anna|James McBride|1573229717|3.74
Die Farbe von Wasser|James McBride|342661278X|4.08
Dragons of Winter Night (Dragonlance: Chronicles #2)|Margaret Weis-Tracy Hickman|0786930675|4.14
Dragons of Winter Night (Dragonlance: Chronicles  #2)|Margaret Weis-Tracy Hickman|1932796789|4.14
Dragon's Treasure|Elizabeth A. Lynn|0441012590|3.53
Watchtower (Chronicles of Tornor  #1)|Elizabeth A. Lynn|0743498097|3.56
Letters to a Young Artist|Anna Deavere Smith|1400032385|4.01
The Hip Chick's Guide to Macrobiotics: A Philosophy for Achieving a Radiant Mind and a Fabulous Body|Jessica Porter-Michio Kushi|1583332057|3.68
La casa en Mango Street|Sandra Cisneros-Elena Poniatowska|0613046889|3.62
The House On Mango Street|Sandra Cisneros|1931376344|3.62
Kurt Vonnegut's Cat's Cradle (Modern Critical Interpretations)|Harold Bloom-Terry Southern-David H. Goldsmith-James Lundquist-Lawrence R. Broer-Peter J. Reed-Loree Rackstraw-William S. Doxey-Jerome Klinkowitz-Richard Giannone-John L. Simons-Leonard Mustazza-Zoltan Ab di-Nagy-Peter Freese-Wendy B. Faris|0791063372|4.35
The Dharma Bums|Jack Kerouac-Ann  Douglas|0143039601|3.93
On the Road  The Dharma Bums  The Subterraneans|Jack Kerouac|0965415937|4.11
The Alchemist's Daughter|Katharine McMahon|0307335852|3.24
The Art of Fullmetal Alchemist: The Anime|Hiromu Arakawa-Akira Watanabe-Eric Searleman|1421507668|4.41
Fullmetal Alchemist  Vol. 11 (Fullmetal Alchemist  #11)|Hiromu Arakawa-Akira Watanabe|1421508389|4.59
Astronomy Today|Eric Chaisson-Steve McMillan|0131445960|3.99
Astronomy For Dummies|Stephen P. Maran|0764584650|3.83
Astronomy: A Self-Teaching Guide|Dinah L. Moché|0471265187|3.89
Astronomy: A Beginner's Guide to the Universe|Eric Chaisson-Steve McMillan|013187165X|3.85
Bad Astronomy|Philip Plait|0471409766|4.04
The Complete World of Greek Mythology|Richard Buxton|0500251215|4.23
Mythology: Timeless Tales of Gods and Heroes|Edith Hamilton|0446607258|3.99
Mythology|Edith Hamilton-Steele Savage|0316341517|3.99
Mythology: The DC Comics Art of Alex Ross|Alex Ross-Geoff Spear-Chip Kidd|0375714626|4.32
Norse Mythology: A Guide to the Gods  Heroes  Rituals  and Beliefs|John Lindow|0195153820|4.1
Classic Myths to Read Aloud: The Great Stories of Greek and Roman Mythology  Specially Arranged for Children Five and Up by an Educational Expert|William F. Russell|0517588374|4.09
From Hell|Alan Moore-Eddie Campbell-Pete Mullins|0861661419|4.16
Snapshots From Hell: The Making Of An MBA|Peter M. Robinson|1857880781|3.69
Love Is a Dog from Hell|Charles Bukowski|0876853629|4.14
Absolute Watchmen|Alan Moore-Dave Gibbons|1401207138|4.36
Watchmen on the Walls|Hannah Hurnard|0805413995|4.0
America (The Book): A Citizen's Guide to Democracy Inaction  (Teacher's Edition)|Jon Stewart-Scott C. Jacobson|0446691860|4.02
The Children's Book of America|William J. Bennett-Michael Hague|0684849305|4.17
The Journal of Scott Pendleton Collins: A World War 2 Soldier|Walter Dean Myers|0439050138|3.97
The New Big Book of America|Todd Davis-Marc Frey|0762412631|5.0
Awake in the Dark: The Best of Roger Ebert|Roger Ebert-David Bordwell|0226182002|4.2
"Ebert's ""Bigger"" Little Movie Glossary"|Roger Ebert-Ray Ebert|0836282892|3.87
The Perfect London Walk|Roger Ebert-Daniel Curley-Jack Lane|0836279298|4.21
The Truth with Jokes|Al Franken|0452287677|3.86
Lies & the Lying Liars Who Tell Them: A Fair & Balanced Look at the Right|Al Franken|0452285216|3.81
"Still More George W. Bushisms: ""Neither in French nor in English nor in Mexican"""|Jacob Weisberg-Al Franken|0743251008|3.37
You're Good Enough  You're Smart Enough  & Doggone It  People Like You!|Al Franken|0553470949|3.94
I'm Good Enough  I'm Smart Enough  & Doggone It  People Like Me!|Al Franken-Melody Beattie-Stuart Smalley|0440504708|3.8
J.R.R. Tolkien: Artist and Illustrator|Wayne G. Hammond-Christina Scull-J.R.R. Tolkien|0618083618|4.13
The J.R.R. Tolkien Companion and Guide|Christina Scull-Wayne G. Hammond|0618391134|4.6
The Ring of Words: Tolkien and the Oxford English Dictionary|Peter Gilliver-E.S.C. Weiner-Jeremy Marshall|0198610696|4.08
The Children of Húrin|J.R.R. Tolkien-Christopher Tolkien-Alan  Lee|0618894640|3.97
Tales Before Tolkien: The Roots of Modern Fantasy|Douglas A. Anderson-Frank R. Stockton-Ludwig Tieck-Richard Garnett-H. Rider Haggard-Andrew Lang-William Hope Hodgson-E.A. Wyke-Smith-David  Lindsay-Clemence Housman-George MacDonald-Arthur Machen-A. Merritt-L. Frank Baum-Kenneth Morris-William Morris-James Branch Cabell-Lord Dunsany-Francis Stevens-E.H. Knatchbull-Hugessen-E. Nesbit|0345458567|3.94
The J.R.R. Tolkien Companion and Guide  Volume 1: Chronology|Christina Scull-Wayne G. Hammond|0618391029|4.53
Sauron Defeated: The History of The Lord of the Rings  Part Four (The History of Middle-Earth  #9)|J.R.R. Tolkien-Christopher Tolkien|0395606497|4.0
The J.R.R. Tolkien Companion and Guide  Volume 2: Reader's Guide|Wayne G. Hammond-Wayne G. Hammond|0618391010|4.49
Tales from the Perilous Realm|J.R.R. Tolkien|0007149123|4.08
Tolkien: Man and Myth: A Literary Life|Joseph Pearce|0898708257|4.06
Roverandom|J.R.R. Tolkien-Christina Scull-Wayne G. Hammond|0007149115|3.87
The History of Middle-Earth Index (The History of Middle-Earth  #13)|J.R.R. Tolkien-Christopher Tolkien|0007137435|4.25
The Lost Road and Other Writings (The History of Middle-earth  #5)|J.R.R. Tolkien-Christopher Tolkien|0261102257|3.96
The Lays of Beleriand (The History of Middle-earth  #3)|J.R.R. Tolkien-Christopher Tolkien|0261102265|3.96
A Tolkien Miscellany|J.R.R. Tolkien-Pauline Baynes|0739427369|4.11
Tolkien's Modern Middle Ages|Jane Chance-Alfred Siewers|1403969736|3.59
Understanding The Lord of the Rings: The Best of Tolkien Criticism|Rose A. Zimbardo-Neil D. Isaacs|0618422536|4.02
Faërie|J.R.R. Tolkien-Francis Ledoux|2266102710|3.51
The Tolkien Reader|J.R.R. Tolkien-Peter S. Beagle-Pauline Baynes|0345015363|3.99
The Hobbit  or  There and Back Again|J.R.R. Tolkien-Alan  Lee|026110330X|4.26
The Tolkien Companion|J.E.A. Tyler-Kevin Reilly|0517146487|4.11
Ranma 1/2  Vol. 36 (Ranma ½ (US 2nd)  #36)|Rumiko Takahashi|142150507X|4.14
Ranma ½  Vol. 1 (Ranma ½ (US 2nd)  #1)|Rumiko Takahashi|1569319626|4.15
Ranma 1/2  Vol. 35 (Ranma ½ (US 2nd)  #35)|Rumiko Takahashi|1421505061|4.1
Ranma 1/2  Vol. 34 (Ranma ½ (US 2nd)  #34)|Rumiko Takahashi|1421505053|4.08
Ranma 1/2  Vol. 7 (Ranma ½ (US 2nd)  #7)|Rumiko Takahashi|1591161290|4.13
Mermaid Saga  Vol. 2|Rumiko Takahashi|1591164842|4.07
The Mermaids Singing|Lisa Carey|0380815591|3.76
Maison Ikkoku  Volume 15 (Maison Ikkoku  #15)|Rumiko Takahashi|1421502798|4.35
Maison Ikkoku  Volume 14 (Maison Ikkoku  #14)|Rumiko Takahashi|1421501422|4.28
Maison Ikkoku  Volume 12 (Maison Ikkoku  #12)|Rumiko Takahashi|1591168694|4.25
Maison Ikkoku  Volume 5 (Maison Ikkoku  #5)|Rumiko Takahashi|1591163196|4.21
Maison Ikkoku  Volume 6 (Maison Ikkoku  #6)|Rumiko Takahashi|1591164222|4.18
Maison Ikkoku  Volume 11 (Maison Ikkoku  #11)|Rumiko Takahashi|159116804X|4.27
Maison Ikkoku  Volume 9 (Maison Ikkoku  #9)|Rumiko Takahashi|1591166179|4.19
Rumic World Trilogy  Volume 3 (Rumic World Trilogy  #3)|Rumiko Takahashi|1569312060|3.9
Nausicaä of the Valley of the Wind  Vol. 4 (Nausicaä of the Valley of the Wind  #4)|Hayao Miyazaki-David Lewis-Toren Smith-Kaori Inoue-Joe Yamazaki-Walden Wong-Izumi Evers|1591163528|4.59
Nausicaä of the Valley of the Wind  Vol. 6 (Nausicaä of the Valley of the Wind  #6)|Hayao Miyazaki-Matt Thorn-Kaori Inoue-Joe Yamazaki-Walden Wong-Izumi Evers|1591163544|4.62
Nausicaä of the Valley of the Wind  Vol. 5 (Nausicaä of the Valley of the Wind  #5)|Hayao Miyazaki-Matt Thorn-Kaori Inoue-Joe Yamazaki-Walden Wong-Izumi Evers|1591164125|4.61
Nausicaä of the Valley of the Wind  Vol. 7 (Nausicaä of the Valley of the Wind  #7)|Hayao Miyazaki-Matt Thorn-Kaori Inoue-Joe Yamazaki-Walden Wong-Izumi Evers|1591163552|4.61
Nausicaä de la vallée du vent  tome 5|Hayao Miyazaki|2723433935|4.61
Nausicaä de la vallée du vent  tome 2|Hayao Miyazaki|2723433900|4.52
Nausicaä De La Vallée Du Vent  Tome 4|Hayao Miyazaki|2723433927|4.59
Nausicaä de la vallée du vent  tome 7|Hayao Miyazaki|2723433951|4.61
Nausicaä de la vallée du vent  tome 6|Hayao Miyazaki|2723433943|4.62
Nausicaä de la vallée du vent  tome 3|Hayao Miyazaki|2723433919|4.56
Nausicaä de la vallée du vent|Hayao Miyazaki|2723432971|4.45
Mândraga|Nausicaa Marbe|9029052414|3.57
Homer's Daughter|Robert Graves|0897330595|3.83
The Absolute Sandman  Volume One|Neil Gaiman-Mike Dringenberg-Chris Bachalo-Michael Zulli-Kelly Jones-Charles Vess-Colleen Doran-Malcolm Jones III-Steve Parkhouse-Daniel Vozzo-Lee Loughridge-Steve Oliff-Todd Klein-Dave McKean-Sam Kieth|1401210821|4.65
Preludes & Nocturnes (The Sandman  #1)|Neil Gaiman-Sam Kieth-Mike Dringenberg-Malcolm Jones III-Todd Klein-Karen  Berger|1563892278|4.25
Berlin Diary: The Journal of a Foreign Correspondent 1934-1941|William L. Shirer-Gordon A. Craig|0801870569|4.29
This Is Berlin: Reporting from Nazi Germany 1938-40|William L. Shirer-John Keegan-Inga Shirer Dean|1585672793|4.22
The Nightmare Years: 1930-40 (20th Century Journey  #2)|William L. Shirer|1841581224|4.23
Gandhi|William L. Shirer|0671638815|4.05
The Collapse of the Third Republic|William L. Shirer|0306805626|4.2
The Egg and I (Betty MacDonald Memoirs  #1)|Betty MacDonald|0704102471|3.93
Green Eggs and Ham|Dr. Seuss|0394800168|4.3
Something Borrowed (Darcy & Rachel  #1)|Emily Giffin|0312321198|3.84
Something Borrowed  Something Blue|Elaine Barbieri-Constance O'Banyon-Evelyn Rogers-Bobbi Smith|084394725X|4.0
The Major Plays|Anton Chekhov-Ann Dunnigan-Rosamund Bartlett-Robert Brustein|0451530373|4.18
The Complete Plays|Anton Chekhov-Laurence Senelick|0393048853|4.49
Anton Chekhov's Selected Plays|Anton Chekhov-Laurence Senelick|0393924653|4.01
Short Stories|Anton Chekhov-Ralph E. Matlaw|0393090027|4.35
Ward No. 6 and Other Stories|Anton Chekhov-David Plante-Constance Garnett|1593080034|4.32
Roald Dahl's Book of Ghost Stories|Roald Dahl-F. Marion Crawford-L.P. Hartley-Richard Barham Middleton-Rosemary Timperley-J. Sheridan Le Fanu-Mary Treadgold-Edith Wharton-Jonas Lie-Robert Aickman-Cynthia Asquith-E.F. Benson-A.M. Burrage|0140071784|3.69
The Dark Descent|David G. Hartwell-Clive Barker-Ray Bradbury-John Collier-Shirley Jackson-Stephen King-Joyce Carol Oates|0312862172|4.26
The Medusa in the Shield|David G. Hartwell-Robert Aickman-Charlotte Perkins Gilman-William Faulkner-Robert Smythe Hichens-Richard Matheson-Joanna Russ-Dennis Etchison-D.H. Lawrence-Tanith Lee-Flannery O'Connor-Ramsey Campbell-Thomas M. Disch-Henry James-Theodore Sturgeon-Clive Barker-Edgar Allan Poe-Stephen King-Michael  Bishop-H.P. Lovecraft-J. Sheridan Le Fanu|0812509668|3.98
A Fabulous  Formless Darkness|David G. Hartwell-Fritz Leiber-Fitz-James O'Brien-Shirley Jackson-Ambrose Bierce-Edith Wharton-Algernon Blackwood-Thomas M. Disch-Robert Aickman-Philip K. Dick-Gene Wolfe-Charles Dickens-Stephen King-Joyce Carol Oates-Walter de la Mare-Ivan Turgenev-Robert W. Chambers-Oliver Onions|0812509676|4.21
The Dark Descent  Vol 1: The Color of Evil|David G. Hartwell|0246136677|4.11
Bargaining for Advantage: Negotiation Strategies for Reasonable People|G. Richard Shell|0143036971|3.94
Bargaining for Advantage: Negotiation Strategies for Reasonable People|G. Richard Shell|0140281916|3.94
The Silence of the Lambs  (Hannibal Lecter  #2)|Thomas  Harris|0099446782|4.18
The Silence of the Lambs and Red Dragon|Thomas  Harris|1850522316|4.48
Red Dragon/The Silence of the Lambs|Thomas  Harris|0091881358|4.48
The Silence of the Lambs|Yvonne Tasker|0851708714|4.27
King Solomon's Mines (Allan Quatermain  #1)|H. Rider Haggard|0812966295|3.8
Mine  All Mine!: A Book About Pronouns|Ruth Heller|0698117972|4.07
A Faith Like Mine|Laura Buller-DK Publishing|0756611776|3.91
Speaks the Nightbird (Matthew Corbett  #1)|Robert R. McCammon|1880216620|4.13
Mine|Robert R. McCammon|0671664867|3.9
Usher's Passing|Robert R. McCammon|0030618339|3.9
The Bishop's Boys: A Life of Wilbur and Orville Wright|Tom D. Crouch|039330695X|4.17
Ghost Story|Peter Straub|0224016865|3.95
The Insomnia Answer: A Personalized Program for Identifying and Overcoming the Three Types of Insomnia|Paul Glovinsky-Art Spielman|0399532978|3.89
Cognitive Behavioral Treatment of Insomnia: A Session-By-Session Guide|Michael L. Perlis-Carla Jungquist-Michael T. Smith|0387222529|4.1
Healing Therapies for Overcoming Insomnia|Peter  Van Houten-Rich McCord|1565891740|3.6
The Attraction (Dark Coming of Age  #3)|Douglas Clegg|0843954116|3.63
Nightmare House (Harrow House  #1)|Douglas Clegg|084395177X|3.36
The Abandoned (Harrow House  #4)|Douglas Clegg|0843954108|3.42
The Nightmare Chronicles|Douglas Clegg|084394580X|3.74
Mischief (Harrow House  #2)|Douglas Clegg|0843947667|3.49
Purity (Dark Coming of Age  #1)|Douglas Clegg|1881475719|3.78
The Hour Before Dark|Douglas Clegg|0843951427|3.75
The Halloween Man|Douglas Clegg|0843944390|3.36
Isis (Harrow House  #0.25)|Douglas Clegg|1587670895|3.68
The Abandoned (Harrow House  #4)|Douglas Clegg|1587671379|3.42
The Sisters: The Saga of the Mitford Family|Mary S. Lovell|0393324141|3.97
Soldiers of Salamis|Javier Cercas-Anne McLean|1582344728|3.79
La velocidad de la luz|Javier Cercas|8483102986|3.94
Spandau: The Secret Diaries|Albert Speer|0026995018|4.12
El coronel no tiene quien le escriba|Gabriel García Márquez|0307350436|3.74
Of Love and Other Demons|Gabriel García Márquez|0517405091|3.98
Noticia de un secuestro|Gabriel García Márquez|0307350509|3.84
Chronicle of a Death Foretold|Gabriel García Márquez-Gregory Rabassa|140003471X|3.96
Vivir para contarla|Gabriel García Márquez|9681336089|3.98
La hojarasca|Gabriel García Márquez|968131588X|3.61
Ojos de perro azul|Gabriel García Márquez|0307350517|3.73
The General in His Labyrinth|Gabriel García Márquez-Edith Grossman|1400043336|3.68
La increíble y triste historia de la cándida Eréndira y de su abuela desalmada|Gabriel García Márquez|0307350363|3.89
The Autumn of the Patriarch|Gabriel García Márquez-Gregory Rabassa|0060882867|3.85
Memoria de mis putas tristes|Gabriel García Márquez|9875661961|3.59
Cien años de soledad|Gabriel García Márquez|0307350274|4.06
El amor en los tiempos del cólera|Gabriel García Márquez|8467204362|3.9
Relato de un náufrago|Gabriel García Márquez|0307350401|3.76
Relato de Um Náufrago|Gabriel García Márquez-Remy Gorga Filho|8501011207|3.76
The Complete Poems|William Blake-Alicia Suskin Ostriker|0140422153|4.29
The Marriage of Heaven and Hell|William Blake|0486281221|4.24
The Complete Stories and Poems|Edgar Allan Poe|0385074077|4.38
Complete Tales and Poems|Edgar Allan Poe|0785814531|4.38
The Complete Tales and Poems|Edgar Allan Poe|0606029818|4.38
The Edgar Allan Poe Audio Collection|Edgar Allan Poe|0694524190|4.5
18 Best Stories by Edgar Allan Poe|Edgar Allan Poe-Vincent Price-Chandler Brossard|0440322278|4.02
Complete Poems (Library of Classic Poets)|Edgar Allan Poe|0517082454|4.32
Edgar Allan Poe A to Z|Dawn B. Sova|081604161X|4.33
Selected Letters  1940-1956|Jack Kerouac-Ann Charters|0140234446|4.12
The Wild Boys|William S. Burroughs|0802133312|3.6
Nova Express (The Nova Trilogy  #3)|William S. Burroughs|0802133304|3.68
Last Words: The Final Journals|William S. Burroughs-James Grauerholz|0802137784|3.98
The Job: Interviews with William S. Burroughs|William S. Burroughs-Daniel Odier|0140118829|4.05
With William Burroughs: A Report From the Bunker|William S. Burroughs-Victor Bockris|0312147678|4.05
The Soft Machine (The Nova Trilogy #1)|William S. Burroughs|0802133290|3.39
Junky|William S. Burroughs-Oliver  Harris-Allen Ginsberg|0142003166|3.84
Queer|William S. Burroughs|0330300164|3.62
Naked Lunch|William S. Burroughs-Barry Miles-James Grauerholz|0802116396|3.44
Cities of the Red Night|William S. Burroughs|0312278462|3.77
William S. Burroughs  Throbbing Gristle  Brion Gysin|V. Vale-Andrea Juno-William S. Burroughs-Throbbing Gristle-Brion Gysin|1889307157|4.25
Burroughs Live: The Collected Interviews  1960-1997|William S. Burroughs-Sylvère Lotringer|1584350105|4.35
My Education: A Book of Dreams|William S. Burroughs|0140094547|3.7
Literary Outlaw: The Life and Times of William S. Burroughs|Ted Morgan-William S. Burroughs|0380708825|4.13
Trainspotting (Mark Renton  #2)|Irvine Welsh|0393057240|4.09
Trainspotting|Murray Smith|0851708706|4.0
Trainspotting|Irvine Welsh-Eric Lindor Fall|2020336464|4.09
Glue|Irvine Welsh|0099436922|3.82
Marabou Stork Nightmares|Irvine Welsh|0393315630|3.86
You'll Have Had Your Hole|Irvine Welsh|0413728609|3.53
Ecstasy|Irvine Welsh-Alain Defossé|2020416409|3.58
Filth|Irvine Welsh|0393318680|3.74
Cola|Irvine Welsh|8433970011|3.82
The Female Brain|Louann Brizendine|0767920090|3.82
Scribble  Scribble: Notes on the Media|Nora Ephron|0553122754|3.7
When Harry Met Sally|Nora Ephron|0747575479|4.24
Life Amongst the Modocs|Joaquin Miller-Alan Rosenus-Malcolm Margolin|0930588797|4.32
Devil's Backbone|Terry C. Johnston|0312925743|4.17
La galaxia Gutenberg|Marshall McLuhan|8481091847|4.12
Soldados de Salamina|Javier Cercas|8483101610|3.79
Rule #1: The Simple Strategy for Successful Investing in Only 15 Minutes a Week!|Phil Town|0307336131|3.97
"Laguna  I Love You: The Best of ""Our Town"""|John Weld-Phil Interlandi|1564741575|0.0
"Dirty Italian: Everyday Slang from ""What's Up?"" to ""F*%# Off!"""|Gabrielle Ann Euvino-Lindsay Mack|1569755663|4.04
The Deep (Dive  #2)|Gordon Korman|0439507235|3.78
The Discovery (Dive  #1)|Gordon Korman|0439507227|3.72
New York City's Best Dive Bars: Drinking and Diving in the Five Boroughs|Wendy Mitchell-June Kim|0970312539|3.75
The Stowaway Solution (On The Run  #4)|Gordon Korman|0439651395|4.11
The Abduction (Kidnapped  #1)|Gordon Korman|043984777X|3.99
The Fugitive Factor (On The Run  #2)|Gordon Korman|0439651379|4.13
Chasing The Falconers (On The Run  #1)|Gordon Korman|0439651360|4.05
Losing Joe's Place|Gordon Korman|0590427695|4.04
Something Fishy at Macdonald Hall (Macdonald Hall  #7)|Gordon Korman|0590255223|4.04
The Zucchini Warriors (Macdonald Hall  #5)|Gordon Korman|0590441744|4.01
The Contest (Everest Trilogy)|Gordon Korman|0613589459|3.85
The Deep (Dive Trilogy)|Gordon Korman|0613674839|3.78
No More Dead Dogs|Gordon Korman|0439294843|3.71
Radio Fifth Grade|Gordon Korman|0590419277|3.55
The Climb (Everest Trilogy)|Gordon Korman|061358466X|3.9
The Contest (Everest  #1)|Gordon Korman|0439401399|3.85
Casino Royale (James Bond  #1)|Ian Fleming|0340425679|3.73
The Eternal Flame|T.A. Barron-David Elliot|0399242139|4.22
The Ivy Tree|Carolyn Brown|0803494661|4.2
Street Magic (The Circle Opens  #2)|Tamora Pierce|0590396439|4.14
Wolf-Speaker (Immortals  #2)|Tamora Pierce|1416903445|4.23
Leonardo's Notebooks|Leonardo da Vinci-H. Anna Suh|1579124577|3.92
The Golden Notebook|Doris Lessing|006093140X|3.76
Gödel  Escher  Bach: An Eternal Golden Braid|Douglas R. Hofstadter|0465026567|4.3
Gödel  Escher  Bach: Un eterno y grácil bucle|Douglas R. Hofstadter-Mario A. Usabiaga-Alejandro Lopez Rousseau-Jorge Wagensberg|8472234592|4.3
Gödel  Escher  Bach: An Eternal Golden Braid|Douglas R. Hofstadter|0140289208|4.3
Gödel  Escher  Bach: ein Endloses Geflochtenes Band|Douglas R. Hofstadter-Philipp Wolff-Windegg-Hermann Feuersee|3423300175|4.3
Gödel  Escher  Bach. Les Brins D'une Guirlande Eternelle|Douglas R. Hofstadter-Jacqueline Henry-Robert French|210005435X|4.3
M Is for Mayflower: A Massachusetts Alphabet|Margot Theis Raven-Jeannie Brett|1585360724|4.0
Mayflower Treasure Hunt (A to Z Mysteries: Super Edition  #2)|Ron Roy-John Steven Gurney|0375839372|4.18
William Shakespeare’s: Romeo and Juliet (Shakespeare Retellings  #4)|Bruce Coville-Dennis Nolan|0803724624|3.97
Romeo and Juliet|William Shakespeare-Barbara A. Mowat-Paul Werstine|0743482808|3.74
Jennifer  Hecate  Macbeth  William McKinley  and Me  Elizabeth|E.L. Konigsburg|1416933964|3.79
Death of a Charming Man (Hamish Macbeth  #10)|M.C. Beaton|0446403385|3.79
The Merchant of Venice|William Shakespeare-Robert          Jackson-Barbara A. Mowat-Paul Werstine|0743477561|3.8
The Merchant of Venice|William Shakespeare-Robert     Smith-Jonathan Morris|0521618754|3.8
Catherine  Called Birdy|Karen Cushman|0060739428|3.71
